,region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent
100,SSF,Kenya,3329.854492,57.0,3.0,1.0,9.0,11.3,18.7,Yes,Yes,Yes,Yes,41350152,17350.0,212020.5,5595099.0,8.0
101,ECS,Kyrgyz Republic,4805.141113,43.2,4.0,3.0,14.0,13.155000000000001,11.5,No,Yes,Yes,Yes,5956900,7200.0,4771346.0,1113300.0,13.655000000000001
102,EAS,Cambodia,3364.278809,66.6,2.6,2.0,10.4,4.0,8.6,No,Yes,Yes,Yes,15270790,14000.0,212020.5,1089000.0,13.655000000000001
103,EAS,Kiribati,2249.768555,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,No,114395,100.0,212020.5,35723.8275,13.655000000000001
104,LCN,St. Kitts and Nevis,25569.35742,27.2,8.1,8.8,12.2,20.5,23.2,Yes,Yes,Yes,No,54288,700.0,212020.5,32892.14,13.655000000000001
105,EAS,"Korea, Rep.",42105.28125,30.0,2.5,2.6,14.0,41.0,24.3,Yes,Yes,Yes,Yes,51606632,570635.0,212020.5,20452776.0,58.0
106,MEA,Kuwait,58810.30078,45.0,4.0,2.0,8.0,20.0,20.0,No,Yes,Yes,Yes,2998083,67000.0,203000.0,1750000.0,13.655000000000001
107,EAS,Lao PDR,6543.666992,16.9,9.3,3.7,20.3,2.8,6.1,None,Yes,Yes,Yes,6663967,7500.0,5200.0,351900.0,10.0
108,MEA,Lebanon,16966.74023,52.5,3.5,5.5,11.0,16.0,11.5,No,Yes,No,No,5603279,51000.0,46000.0,2040000.0,8.0
109,SSF,Liberia,1333.422241,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,3512932,22500.0,212020.5,564466.7,13.655000000000001
110,MEA,Libya,8479.946289,70.1,3.1,4.3,3.8,5.5,7.5,No,Yes,No,Yes,6193501,70000.0,212020.5,2147596.472,13.655000000000001
111,LCN,St. Lucia,14029.98242,45.0,7.0,5.0,11.0,10.0,22.0,Yes,Yes,Yes,Yes,177206,1600.0,2732.0,77616.228,13.655000000000001
112,ECS,Liechtenstein,45726.98828,37.6,5.0,12.5,9.1,30.3,5.4,Yes,Yes,Yes,No,36545,293.0,1204.0,32382.0,64.6
113,SAS,Sri Lanka,12287.47266,62.0,2.0,3.0,13.0,7.0,7.0,Yes,Yes,Yes,No,21203000,72.5,212020.5,2631650.0,12.79
114,SSF,Lesotho,1978.608398,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,1965662,1800.0,212020.5,73457.0,13.655000000000001
115,ECS,Lithuania,37278.30469,40.4,8.65,2.75,44.05,10.05,10.15,No,Yes,Yes,Yes,2786844,82691.0,165477.0,1315390.375,22.92
116,ECS,Luxembourg,114323.4063,30.0,4.0,2.0,27.0,19.0,18.0,Yes,Yes,Yes,No,619896,7398.0,237180.0,490337.75,28.37
117,ECS,Latvia,30982.17383,46.7,21.4,2.6,9.7,6.1,7.7,Yes,Yes,Yes,Yes,1912789,25071.0,104142.0,839714.375,21.23
118,EAS,"Macao SAR, China",117335.5859,3.1,3.3,1.7,3.1,58.7,7.9,Yes,Yes,Yes,Yes,612167,11000.0,3118.0,377942.0,20.0
